mapillary_sequence,query_idx,anchor_idx,method,num_matches,num_inliers,lat,lon,compass_deg,anchor_lat,anchor_lon,status
n4k0JDQfdeItNMf9OOwCUQ,3901194019972102,7786,anydepth80,714,553,41.90583266911537,12.482344071836065,-172.9528551479768,41.905780936279136,12.482356378720247,success
n4k0JDQfdeItNMf9OOwCUQ,3901194019972102,7791,anydepth80,779,557,41.9058363643102,12.482346395942663,-175.45186085356755,41.90577906858432,12.482356864855108,success
n4k0JDQfdeItNMf9OOwCUQ,3901194019972102,7781,anydepth80,617,391,41.90584140072249,12.482333520795333,-171.17898954109071,41.90578272461229,12.482356078782804,success
n4k0JDQfdeItNMf9OOwCUQ,4232333256798703,7786,anydepth80,182,78,nan,nan,-172.9528551479768,41.905780936279136,12.482356378720247,fail
n4k0JDQfdeItNMf9OOwCUQ,4232333256798703,2531,anydepth80,72,25,nan,nan,132.32101664620575,41.90588837593718,12.481999386779938,fail
n4k0JDQfdeItNMf9OOwCUQ,4232333256798703,23861,anydepth80,56,21,nan,nan,37.44924198738254,41.90571929958456,12.482265439226117,fail
n4k0JDQfdeItNMf9OOwCUQ,462147301727489,23881,anydepth80,268,140,nan,nan,38.49446647291023,41.90571989778162,12.48227505598066,fail
n4k0JDQfdeItNMf9OOwCUQ,462147301727489,23876,anydepth80,237,117,nan,nan,38.59177992822895,41.90571953262946,12.482272726635466,fail
n4k0JDQfdeItNMf9OOwCUQ,462147301727489,23866,anydepth80,220,88,nan,nan,38.17425811840825,41.90571901166416,12.482267781333483,fail
n4k0JDQfdeItNMf9OOwCUQ,481356716346087,23861,anydepth80,122,41,nan,nan,37.44924198738254,41.90571929958456,12.482265439226117,fail
n4k0JDQfdeItNMf9OOwCUQ,481356716346087,23881,anydepth80,73,29,nan,nan,38.49446647291023,41.90571989778162,12.48227505598066,fail
n4k0JDQfdeItNMf9OOwCUQ,481356716346087,23876,anydepth80,98,36,nan,nan,38.59177992822895,41.90571953262946,12.482272726635466,fail
n4k0JDQfdeItNMf9OOwCUQ,764685014199505,7821,anydepth80,65,20,nan,nan,171.73969531495408,41.90576769023665,12.482354931193958,fail
n4k0JDQfdeItNMf9OOwCUQ,764685014199505,7781,anydepth80,48,19,nan,nan,-171.17898954109071,41.90578272461229,12.482356078782804,fail
n4k0JDQfdeItNMf9OOwCUQ,764685014199505,23861,anydepth80,56,19,nan,nan,37.44924198738254,41.90571929958456,12.482265439226117,fail
n4k0JDQfdeItNMf9OOwCUQ,788402008462473,7786,anydepth80,613,502,41.90570137326317,12.482492976145183,-172.9528551479768,41.905780936279136,12.482356378720247,success
n4k0JDQfdeItNMf9OOwCUQ,788402008462473,7781,anydepth80,527,344,41.90570420500245,12.482488853631027,-171.17898954109071,41.90578272461229,12.482356078782804,success
n4k0JDQfdeItNMf9OOwCUQ,788402008462473,7791,anydepth80,438,248,41.90571160680869,12.482484700673355,-175.45186085356755,41.90577906858432,12.482356864855108,success
