anchor_idx,query_image,num_matches,num_inliers
40900,247353410505415,624,518
40950,247353410505415,656,505
40250,248634643711726,1726,1495
40200,248634643711726,1716,1380
40150,248634643711726,1350,1047
39050,260933419102289,1803,1476
39100,260933419102289,1524,1276
39000,260933419102289,1398,1199
40850,269668874856680,414,340
40800,269668874856680,398,294
40750,269668874856680,346,236
40850,276043394252216,316,221
40800,276043394252216,297,191
40750,276043394252216,276,188
7821,278233050668896,544,468
7811,278233050668896,501,462
7816,278233050668896,483,462
23861,287299236272756,513,293
23871,287299236272756,495,267
23866,287299236272756,503,265
39550,289120099577066,1605,1274
39600,289120099577066,1570,1111
39450,289120099577066,1038,863
39600,298094378497363,670,444
39450,298094378497363,649,431
39400,298094378497363,589,425
39450,300044561683907,1704,1548
39500,300044561683907,1475,1377
39350,300044561683907,1141,1016
38750,301251801503991,1458,1234
38700,301251801503991,1300,1119
38600,301251801503991,1205,1042
37850,301849714850693,419,207
38150,301849714850693,391,188
38200,301849714850693,293,170
38850,303564577924793,1564,1292
38750,303564577924793,1315,1167
38800,303564577924793,1335,1130
39900,303730374594771,1759,1404
39850,303730374594771,1512,1185
39950,303730374594771,1271,996
40450,304899161162720,732,685
40800,304899161162720,781,652
40850,304899161162720,826,637
40150,305571307816990,715,484
39950,305571307816990,662,471
39900,305571307816990,600,457
23871,305791817730395,662,426
23866,305791817730395,623,419
23881,305791817730395,612,387
7811,306713820894516,1037,882
7806,306713820894516,982,781
7781,306713820894516,804,764
39200,306775687692935,1549,1257
39250,306775687692935,1576,1192
39150,306775687692935,1233,992
37450,308314457488847,460,338
37950,308314457488847,536,332
37700,308314457488847,515,322
40850,309957857169063,396,317
40800,309957857169063,373,257
40700,309957857169063,325,236
40850,310769060409655,943,753
40800,310769060409655,813,672
40750,310769060409655,704,601
39450,310982717201776,1783,1294
39300,310982717201776,1159,938
39350,310982717201776,1253,902
39800,312192647016031,1338,1081
39750,312192647016031,1501,1077
39850,312192647016031,1068,907
39200,313127766999687,1551,1200
39300,313127766999687,1170,1086
39250,313127766999687,1482,1060
40500,316147433229878,1536,1286
40450,316147433229878,1554,1208
40400,316147433229878,1211,984
38750,317123973111603,1409,1248
38800,317123973111603,1568,1213
38850,317123973111603,1250,1128
39950,318220739671203,1463,1078
40000,318220739671203,1437,1066
39900,318220739671203,1298,1010
40200,323113055830126,771,531
40150,323113055830126,761,509
40250,323113055830126,737,507
38950,324466852430700,1560,1443
38900,324466852430700,1517,1344
39000,324466852430700,1212,1105
40250,335844591210293,1739,1448
40300,335844591210293,1541,1270
40200,335844591210293,1459,1186
23861,339973640889465,481,294
23881,339973640889465,480,292
23866,339973640889465,456,266
40550,351643666384375,674,491
40500,351643666384375,673,402
40600,351643666384375,668,397
23861,367029038020395,692,481
23871,367029038020395,653,439
23866,367029038020395,661,396
40450,372682857469137,1628,1509
40400,372682857469137,1626,1182
40500,372682857469137,1169,1113
40850,428293974906309,425,377
40800,428293974906309,416,350
40750,428293974906309,364,304
39250,458265088597722,1647,1352
39200,458265088597722,1441,1217
39300,458265088597722,1474,1188
40850,461374908452669,580,335
40800,461374908452669,479,283
40900,461374908452669,448,280
40250,461832931565159,534,386
40850,461832931565159,709,381
40700,461832931565159,597,369
40700,464839121485956,545,411
40500,464839121485956,656,396
40550,464839121485956,670,388
40050,468472451123328,1414,1076
39950,468472451123328,1182,939
40100,468472451123328,1136,884
40050,468758624198354,1320,961
40150,468758624198354,1154,926
39950,468758624198354,1176,896
39600,472831740495485,1815,1501
39550,472831740495485,1420,1242
39650,472831740495485,1313,851
38650,474642130420803,1375,1127
38700,474642130420803,1492,1103
38750,474642130420803,1229,1077
40300,485093559281755,707,473
40400,485093559281755,637,463
40250,485093559281755,740,458
38650,487620915775365,1564,1246
38600,487620915775365,1445,1199
38700,487620915775365,1252,1022
40200,488294055921976,1653,1355
