anchor_idx,query_idx,num_matches,num_inliers
970,11360,32,14
970,11380,27,13
970,11400,12,7
970,11420,19,11
970,11440,21,11
970,11460,34,15
970,11480,15,9
980,11300,11,7
980,11320,2,0
980,11340,6,0
980,11360,2,0
980,11380,33,16
980,11400,20,10
980,11420,20,12
980,11440,59,24
980,11460,39,20
980,11480,29,16
990,11300,35,23
990,11320,24,17
990,11340,60,30
990,11360,11,7
990,11380,23,12
990,11400,52,22
990,11420,18,11
990,11440,126,71
990,11460,58,30
990,11480,45,14
4000,5000,274,250
4000,5020,244,184
4000,5040,400,331
4000,5060,628,559
4000,5080,588,522
4000,5100,517,419
4000,5120,496,452
4000,5140,433,352
4000,5160,377,327
4000,5180,344,267
4010,5000,242,241
4010,5020,218,179
4010,5040,437,343
4010,5060,651,611
4010,5080,624,551
4010,5100,568,531
4010,5120,531,470
4010,5140,461,406
4010,5160,388,326
4010,5180,324,280
4020,5000,158,134
4020,5020,176,171
4020,5040,443,419
4020,5060,696,542
4020,5080,717,702
4020,5100,621,531
4020,5120,521,475
4020,5140,497,443
4020,5160,447,343
4020,5180,375,287
4030,5000,41,22
4030,5020,140,134
4030,5040,498,445
4030,5060,853,751
4030,5080,790,714
4030,5100,685,602
4030,5120,570,486
4030,5140,500,415
4030,5160,426,349
4030,5180,365,279
4040,5000,15,11
4040,5020,0,0
4040,5040,562,497
4040,5060,1015,929
4040,5080,904,725
4040,5100,739,650
4040,5120,636,612
4040,5140,558,494
4040,5160,484,431
4040,5180,401,302
4050,5000,17,11
4050,5020,19,14
4050,5040,539,455
4050,5060,1167,923
4050,5080,1043,1003
4050,5100,817,753
4050,5120,677,654
4050,5140,582,549
4050,5160,526,452
4050,5180,454,378
4060,5000,14,8
4060,5020,9,7
4060,5040,402,315
4060,5060,1144,1086
4060,5080,1367,1358
4060,5100,917,851
4060,5120,703,615
4060,5140,641,563
4060,5160,533,477
4060,5180,454,366
4070,5000,42,23
4070,5020,30,21
4070,5040,306,277
4070,5060,962,897
4070,5080,1631,1526
4070,5100,1158,1070
4070,5120,779,660
4070,5140,676,631
4070,5160,586,516
4070,5180,492,434
4080,5000,37,29
4080,5020,19,14
4080,5040,250,229
4080,5060,827,778
4080,5080,1196,1141
4080,5100,1571,1533
4080,5120,932,849
4080,5140,728,667
4080,5160,624,522
4080,5180,520,484
4090,5000,0,0
4090,5020,4,0
4090,5040,211,181
4090,5060,705,566
4090,5080,930,821
4090,5100,1388,1213
4090,5120,1174,1170
4090,5140,802,774
4090,5160,672,648
4090,5180,538,481
4100,5000,7,0
4100,5020,3,0
4100,5040,185,164
4100,5060,638,582
4100,5080,755,685
4100,5100,1021,1017
4100,5120,1667,1521
4100,5140,962,831
4100,5160,732,645
4100,5180,578,485
4110,5000,18,12
4110,5020,28,20
4110,5040,215,196
4110,5060,621,555
4110,5080,708,634
4110,5100,875,849
4110,5120,1289,1239
4110,5140,1159,1119
4110,5160,785,713
4110,5180,667,604
4120,5000,6,0
4120,5020,53,23
4120,5040,200,174
4120,5060,582,518
4120,5080,638,586
4120,5100,778,750
4120,5120,1001,942
4120,5140,1644,1482
4120,5160,966,819
4120,5180,709,623
4130,5000,20,15
4130,5020,23,17
4130,5040,190,162
4130,5060,568,475
4130,5080,585,554
4130,5100,721,664
4130,5120,840,744
4130,5140,1299,1181
4130,5160,1128,1073
4130,5180,821,756
4140,5000,48,23
4140,5020,12,7
4140,5040,191,137
4140,5060,530,437
4140,5080,563,522
4140,5100,659,571
4140,5120,737,683
4140,5140,1021,999
4140,5160,1563,1297
4140,5180,957,846
4150,5000,43,17
4150,5020,40,17
4150,5040,138,94
4150,5060,518,461
4150,5080,532,450
4150,5100,619,503
4150,5120,738,634
4150,5140,917,869
4150,5160,1454,1335
4150,5180,1107,1068
4160,5000,65,35
4160,5020,37,17
4160,5040,102,77
4160,5060,491,407
4160,5080,468,423
4160,5100,539,434
4160,5120,627,600
