anchor_idx,query_idx,num_matches,num_inliers
14350,28150,103,51
14350,28200,134,77
14350,28250,239,90
14350,28300,83,31
14350,28350,256,138
14350,28400,483,329
14350,28450,598,474
14350,28500,580,501
14350,28550,550,451
14350,28600,484,432
14350,28650,592,506
14350,28700,485,421
14350,28750,499,411
14350,28800,462,371
14350,28850,429,363
14350,28900,325,262
14350,28950,166,109
14350,29000,113,78
14350,29050,96,65
14350,29100,284,236
14350,29150,345,243
14350,29200,277,182
14350,29250,109,70
14350,29300,239,76
14350,29350,257,57
14350,29400,178,46
14350,29450,65,24
14350,29500,162,73
14350,29550,196,75
14350,29600,191,74
14350,29650,156,49
14350,29700,85,18
14350,29750,55,18
14350,29800,63,30
14350,29850,73,21
14350,29900,22,13
14350,29950,172,48
14400,28000,385,282
14400,28050,249,125
14400,28100,181,106
14400,28150,91,47
14400,28200,222,97
14400,28250,268,94
14400,28300,167,34
14400,28350,438,198
14400,28400,552,362
14400,28450,660,492
14400,28500,668,563
14400,28550,639,527
14400,28600,548,444
14400,28650,683,642
14400,28700,607,515
14400,28750,541,503
14400,28800,531,462
14400,28850,489,423
14400,28900,401,347
14400,28950,229,158
14400,29000,164,112
14400,29050,145,108
14400,29100,256,185
14400,29150,338,235
14400,29200,208,123
14400,29250,74,21
14400,29300,60,18
14400,29350,128,62
14400,29400,244,119
14400,29450,99,18
14400,29500,83,28
14400,29550,222,146
14400,29600,181,76
14400,29650,449,247
14400,29700,137,69
14400,29750,149,50
14400,29800,153,81
14400,29850,200,131
14400,29900,105,28
14400,29950,217,41
14450,28000,413,368
14450,28050,261,157
14450,28100,151,115
14450,28150,85,31
14450,28200,130,56
14450,28250,277,94
14450,28300,270,89
14450,28350,401,197
14450,28400,550,342
14450,28450,797,638
14450,28500,744,540
14450,28550,689,592
14450,28600,663,564
14450,28650,816,735
14450,28700,691,631
14450,28750,616,590
14450,28800,598,488
14450,28850,495,419
14450,28900,399,346
14450,28950,243,172
14450,29000,136,108
14450,29050,137,90
14450,29100,275,124
14450,29150,90,25
14450,29200,98,23
14450,29250,123,50
14450,29300,63,31
14450,29350,124,43
14450,29400,134,67
14450,29450,93,24
14450,29500,155,65
14450,29550,89,24
14450,29600,161,53
14450,29650,106,20
14450,29700,130,30
14450,29750,41,14
14450,29800,40,17
14450,29850,49,16
14450,29900,47,18
14450,29950,107,34
14500,28000,433,381
14500,28050,270,179
14500,28100,145,117
14500,28150,53,27
14500,28200,67,37
14500,28250,25,14
14500,28300,75,30
14500,28350,392,189
14500,28400,626,358
14500,28450,896,674
14500,28500,837,751
14500,28550,822,737
14500,28600,770,594
14500,28650,948,804
14500,28700,794,765
14500,28750,678,583
14500,28800,614,511
14500,28850,526,478
14500,28900,431,347
14500,28950,271,156
14500,29000,149,124
14500,29050,177,125
14500,29100,241,103
14500,29150,66,28
14500,29200,111,32
14500,29250,48,19
14500,29300,148,82
14500,29350,113,37
14500,29400,178,41
14500,29450,41,16
14500,29500,178,69
14500,29550,19,12
14500,29600,102,41
14500,29650,127,25
14500,29700,78,20
14500,29750,67,18
14500,29800,80,20
14500,29850,99,30
14500,29900,34,17
14500,29950,119,27
14550,28000,464,392
14550,28050,248,154
14550,28100,177,118
14550,28150,27,19
14550,28200,35,22
14550,28250,22,14
14550,28300,43,17
14550,28350,346,165
14550,28400,515,329
14550,28450,993,814
14550,28500,913,694
14550,28550,924,727
14550,28600,846,646
14550,28650,1067,878
14550,28700,916,769
14550,28750,713,562
14550,28800,629,575
14550,28850,505,428
14550,28900,389,291
14550,28950,284,163
14550,29000,221,161
14550,29050,211,172
14550,29100,138,30
14550,29150,162,63
14550,29200,128,36
14550,29250,67,27
14550,29300,141,66
14550,29350,129,38
14550,29400,43,16
14550,29450,37,17
14550,29500,130,48
14550,29550,26,13
14550,29600,49,18
14550,29650,110,44
14550,29700,36,20
14550,29750,68,18
14550,29800,108,37
14550,29850,59,17
14550,29900,16,10
14550,29950,88,24
14600,28000,355,241
