anchor_idx,query_idx,num_matches,num_inliers
750,6700,361,331
750,6750,354,296
750,6800,365,284
750,6850,301,255
750,6900,350,267
750,6950,366,320
750,7000,201,192
750,7050,218,189
750,7100,307,271
750,7150,318,264
800,6000,836,731
800,6050,879,820
800,6100,1131,1014
800,6150,1591,1389
800,6200,1250,1234
800,6250,1031,941
800,6300,827,760
800,6350,695,592
800,6400,641,524
800,6450,530,450
800,6500,458,375
800,6550,400,358
800,6600,302,248
800,6650,353,283
800,6700,346,320
800,6750,323,268
800,6800,337,292
800,6850,297,243
800,6900,340,277
800,6950,413,342
800,7000,279,246
800,7050,272,246
800,7100,348,284
800,7150,302,252
850,6000,714,627
850,6050,747,690
850,6100,901,844
850,6150,1147,1116
850,6200,1272,1198
850,6250,1231,1209
850,6300,928,811
850,6350,813,700
850,6400,732,657
850,6450,621,576
850,6500,558,516
850,6550,506,418
850,6600,381,332
850,6650,404,320
850,6700,393,321
850,6750,352,290
850,6800,346,301
850,6850,311,263
850,6900,346,290
850,6950,413,365
850,7000,284,241
850,7050,299,248
850,7100,336,302
850,7150,336,291
900,6000,796,747
900,6050,733,650
900,6100,838,671
900,6150,976,823
900,6200,946,856
900,6250,1306,1079
900,6300,1224,1105
900,6350,993,931
900,6400,839,791
900,6450,705,657
900,6500,581,514
900,6550,520,471
900,6600,366,312
900,6650,392,355
900,6700,370,263
900,6750,352,271
900,6800,415,305
900,6850,317,251
900,6900,369,304
900,6950,435,395
900,7000,299,268
900,7050,293,262
900,7100,351,313
900,7150,326,271
950,6000,577,545
950,6050,615,571
950,6100,697,603
950,6150,797,753
950,6200,920,848
950,6250,1255,1063
950,6300,1678,1379
950,6350,1290,1209
950,6400,982,975
950,6450,752,643
950,6500,632,599
950,6550,511,454
950,6600,395,342
950,6650,447,374
950,6700,397,344
950,6750,377,302
950,6800,402,355
950,6850,338,269
950,6900,393,345
950,6950,364,309
950,7000,226,189
950,7050,198,176
950,7100,313,282
950,7150,385,336
1000,6000,536,469
1000,6050,546,442
1000,6100,606,585
1000,6150,681,594
1000,6200,778,709
1000,6250,985,967
1000,6300,1220,1208
1000,6350,1802,1665
1000,6400,1256,1098
1000,6450,916,858
