scene,sequence,query_image,anchor_idx,num_matches,num_inliers
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11240,164,116
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11250,221,120
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11260,213,148
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11270,206,125
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11280,266,127
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11290,245,146
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11300,264,167
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11310,297,182
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11320,323,196
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11330,295,164
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11340,383,212
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11350,330,182
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11360,421,241
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11370,494,313
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11380,617,426
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11390,695,431
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11400,714,430
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11410,767,466
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11420,764,493
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11430,599,414
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11440,547,403
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11450,475,362
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11460,387,321
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11470,334,274
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11200,1004,869
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11210,1124,932
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11220,1302,1110
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11230,1583,1327
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11240,1881,1727
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11250,1351,1143
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11260,1128,1005
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11270,823,686
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11280,772,593
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11290,631,497
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11300,534,400
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11310,393,282
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11320,251,173
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11330,281,182
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11340,264,168
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11350,218,135
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11360,220,135
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11370,171,108
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11380,176,98
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11390,189,64
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11400,167,56
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11410,156,70
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11420,135,55
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11430,131,46
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11440,112,37
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11450,137,33
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11460,154,37
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11470,90,30
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11200,78,33
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11210,67,33
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11220,70,25
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11230,80,34
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11240,84,36
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11250,87,38
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11260,96,42
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11270,94,37
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11280,94,51
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11290,97,45
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11300,128,73
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11310,119,63
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11320,127,74
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11330,134,82
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11340,161,99
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11350,149,85
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11360,161,88
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11370,168,101
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11380,170,94
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11390,200,123
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11400,226,154
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11410,265,179
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11420,284,192
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11430,334,252
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11440,358,257
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11450,409,282
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11460,421,315
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11470,456,349
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11200,72,25
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11210,70,32
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11220,64,29
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11230,64,31
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11240,71,36
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11250,73,41
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11260,90,42
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11270,92,32
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11280,80,37
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11290,91,39
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11300,127,64
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11310,102,43
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11320,91,49
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11330,98,48
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11340,118,62
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11350,129,74
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11360,134,67
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11370,126,65
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11380,144,65
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11390,135,75
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11400,167,82
