anchor_seq,query_seq,anchor_idx,query_idx,num_matches,num_inliers
0,3,150,7000,56,16
0,3,150,7050,92,42
0,3,150,7100,44,23
0,3,150,7150,34,14
0,3,150,7200,12,7
0,3,150,7250,40,16
0,3,150,7300,20,12
0,3,150,7350,19,10
0,3,150,7400,4,0
0,3,150,7450,64,30
0,3,150,7500,49,15
0,3,150,7550,2,0
0,3,150,7600,6,0
0,3,150,7650,5,0
0,3,150,7700,34,15
0,3,150,7750,43,14
0,3,150,7800,17,14
0,3,150,7850,15,12
0,3,150,7900,45,13
0,3,150,7950,24,12
0,3,200,6000,117,77
0,3,200,6050,5,0
0,3,200,6100,26,15
0,3,200,6150,29,18
0,3,200,6200,59,28
0,3,200,6250,8,7
0,3,200,6300,5,0
0,3,200,6350,1,0
0,3,200,6400,184,79
0,3,200,6450,36,15
0,3,200,6500,150,62
0,3,200,6550,61,26
0,3,200,6600,42,20
0,3,200,6650,160,70
0,3,200,6700,98,25
0,3,200,6750,35,18
0,3,200,6800,18,12
0,3,200,6850,49,29
0,3,200,6900,44,22
0,3,200,6950,28,14
0,3,200,7000,34,13
0,3,200,7050,52,18
0,3,200,7100,82,26
0,3,200,7150,50,19
0,3,200,7200,4,0
0,3,200,7250,31,12
0,3,200,7300,18,14
0,3,200,7350,24,13
0,3,200,7400,0,0
0,3,200,7450,12,7
0,3,200,7500,31,14
0,3,200,7550,3,0
0,3,200,7600,8,7
0,3,200,7650,18,11
0,3,200,7700,2,0
0,3,200,7750,20,12
0,3,200,7800,10,7
0,3,200,7850,10,7
0,3,200,7900,21,11
0,3,200,7950,0,0
0,3,250,6000,125,38
0,3,250,6050,406,83
0,3,250,6100,75,26
0,3,250,6150,36,20
0,3,250,6200,190,57
0,3,250,6250,71,26
0,3,250,6300,205,48
0,3,250,6350,90,35
0,3,250,6400,153,46
0,3,250,6450,178,49
0,3,250,6500,190,86
0,3,250,6550,98,36
0,3,250,6600,54,19
0,3,250,6650,127,41
0,3,250,6700,80,31
0,3,250,6750,40,16
0,3,250,6800,21,12
0,3,250,6850,20,12
0,3,250,6900,39,16
0,3,250,6950,10,7
0,3,250,7000,41,17
0,3,250,7050,27,19
0,3,250,7100,30,16
