anchor_seq,query_seq,anchor_idx,query_idx,num_matches,num_inliers
4,5,8650,11500,407,270
4,5,8600,11500,327,216
4,5,8450,11500,274,184
4,5,8650,11550,289,193
4,5,8400,11550,234,177
4,5,8450,11550,253,169
4,5,8650,11600,358,231
4,5,8450,11600,264,196
4,5,8600,11600,261,158
4,5,8450,11650,246,204
4,5,8400,11650,209,170
4,5,8650,11650,265,168
4,5,8650,11700,334,246
4,5,8550,11700,244,190
4,5,8450,11700,227,164
4,5,8650,11750,287,198
4,5,8450,11750,223,175
4,5,8400,11750,164,144
4,5,8650,11800,260,189
4,5,8450,11800,225,157
4,5,8550,11800,218,149
4,5,8650,11850,251,180
4,5,8550,11850,215,145
4,5,8400,11850,179,141
4,5,8650,11900,293,227
4,5,8550,11900,218,136
4,5,8400,11900,162,122
4,5,8650,11950,269,205
4,5,8550,11950,208,142
4,5,8600,11950,162,115
0,10,650,20000,1784,1618
0,10,600,20000,1715,1549
0,10,700,20000,1763,1436
4,10,9050,20000,939,800
4,10,9100,20000,889,763
4,10,8950,20000,927,759
0,10,650,20050,1701,1659
0,10,600,20050,1727,1642
0,10,700,20050,1735,1573
4,10,8950,20050,931,845
4,10,8850,20050,939,773
4,10,9050,20050,936,768
0,10,800,20100,1844,1668
0,10,700,20100,1780,1618
0,10,750,20100,1831,1571
4,10,9100,20100,910,779
4,10,9050,20100,932,774
4,10,8850,20100,918,706
0,10,700,20150,1659,1569
0,10,800,20150,1777,1505
0,10,750,20150,1857,1438
4,10,8800,20150,895,735
4,10,9050,20150,807,735
4,10,8850,20150,942,733
0,10,800,20200,1905,1776
0,10,850,20200,1796,1481
0,10,900,20200,1596,1476
4,10,8850,20200,979,814
4,10,8800,20200,942,799
4,10,9100,20200,925,796
0,10,850,20250,1594,1527
0,10,950,20250,1848,1526
0,10,900,20250,1527,1484
4,10,8850,20250,994,852
4,10,8950,20250,923,771
4,10,8800,20250,964,753
0,10,950,20300,2006,1891
0,10,1000,20300,1921,1606
0,10,1100,20300,1837,1530
4,10,8800,20300,935,822
4,10,8950,20300,923,804
4,10,9050,20300,885,782
0,10,950,20350,2027,1975
0,10,1000,20350,1980,1859
0,10,1050,20350,1975,1843
4,10,8950,20350,971,874
4,10,8850,20350,996,830
4,10,9000,20350,854,725
